student_id,team_id,contribution_self,help_given,help_received,cross_discipline_learning,would_choose_cross_team_again
S01,T11,4,4.0,4.0,2.0,2.0
S55,T08,3,5.0,4.0,3.0,4.0
S54,T08,3,3.0,3.0,4.0,3.0
S40,T05,4,5.0,5.0,5.0,4.0
S04,T11,3,4.0,4.0,2.0,3.0
S08,T03,5,4.0,4.0,4.0,4.0
S56,T04,4,4.0,5.0,5.0,5.0
S50,T07,4,4.0,3.0,4.0,4.0
S32,T06,2,4.0,5.0,4.0,5.0
S29,T01,4,4.0,5.0,5.0,5.0
S36,T08,5,4.0,4.0,3.0,3.0
S23,T11,4,4.0,4.0,3.0,3.0
S17,T11,5,4.0,4.0,3.0,4.0
S46,T04,2,4.0,4.0,5.0,5.0
S60,T02,4,5.0,5.0,5.0,4.0
S07,T06,5,5.0,5.0,4.0,4.0
S13,T12,4,3.0,4.0,3.0,2.0
S34,T08,3,4.0,4.0,3.0,3.0
S45,T02,3,5.0,4.0,5.0,4.0
S14,T02,4,5.0,5.0,5.0,4.0
S03,T12,5,3.0,4.0,3.0,4.0
S05,T12,4,,,1.0,3.0
S12,T02,4,5.0,5.0,4.0,5.0
S52,T09,3,5.0,5.0,3.0,4.0
S57,T09,4,4.0,4.0,4.0,4.0
S15,T12,4,4.0,3.0,3.0,5.0
S18,T05,4,5.0,5.0,,
S28,T02,5,5.0,5.0,4.0,5.0
S58,T01,4,4.0,4.0,2.0,4.0
S27,T07,4,4.0,4.0,4.0,4.0
S16,T13,2,4.0,5.0,4.0,3.0
S09,T05,3,5.0,5.0,5.0,4.0
S26,T13,4,3.0,3.0,4.0,2.0
S43,T03,3,4.0,4.0,5.0,5.0
S51,T09,4,4.0,4.0,4.0,4.0
S25,T13,4,3.0,5.0,4.0,3.0
S21,T13,2,2.0,4.0,3.0,4.0
S02,T01,4,5.0,4.0,5.0,4.0
S42,T14,3,3.0,5.0,2.0,3.0
S31,T07,4,4.0,4.0,4.0,4.0
S48,T09,4,5.0,4.0,4.0,4.0
S06,T05,4,5.0,5.0,4.0,5.0
S20,T07,4,4.0,5.0,5.0,5.0
S37,T01,4,4.0,4.0,4.0,5.0
S24,T01,4,5.0,5.0,4.0,5.0
S30,T03,4,3.0,5.0,4.0,4.0
S33,T10,4,4.0,3.0,3.0,3.0
S59,T06,5,5.0,5.0,5.0,5.0
S11,T03,4,4.0,5.0,4.0,4.0
S47,T10,4,4.0,4.0,3.0,2.0
S35,T10,2,4.0,4.0,3.0,2.0
S41,T14,4,4.0,3.0,3.0,3.0
S39,T04,4,4.0,4.0,5.0,5.0
S44,T04,4,4.0,4.0,4.0,3.0
S49,T10,5,3.0,4.0,3.0,4.0
S22,T14,5,2.0,4.0,3.0,4.0
S53,T06,4,4.0,5.0,5.0,5.0
S10,T03,4,5.0,4.0,5.0,4.0
S19,T14,4,4.0,4.0,4.0,3.0
S38,T04,4,5.0,5.0,4.0,4.0
